ami1,AMI,australian mineral processors limited
ami1,LVL,lv living limited
ami1,MXA,maxe-tec australia limited
ami1,WLK,waraluck limited
amk1,AME,australian metals exchange limited
amk1,AMK,amlink limited
aml1,AML,amrad corporation limited
aml1,ZTL,zenyth therapeutics limited
amo1,AMO,amadeus oil n.l.
amo3,AMO,ambertech limited
amp1,AMP,amp limited
ams1,ABE,american boulder n.l.
ams1,AMS,allied mining & processing limited
ams1,AMS,allied mining & processing nl
ams1,FMG,fortescue metal group ltd
ams1,FMG,fortescue metals group ltd
ams1,PHC,pharaoh metals corporation nl
amt1,AMT,aspermont limited
amt3,AMT,advanced surgical design & manufacture limite
amu1,AMU,amadeus energy limited
amu1,AMU,amadeus petroleum nl
amv1,AMV,alamain investments limited
amv1,ATC,autocure limited.
amx1,AMX,ampol exploration limited
amx1,AMX,ampolex limited
amx2,AMX,ampella mining limited
anb1,ANB,austen & butta limited
anc1,ANC,angus & coote (holdings) limited
and1,AND,associated industrial industries limited
and1,CYM,cygnet gold mines n.l.
and1,KIG,kintore gold n.l.
ane1,ANE,auspine limited
ane1,SSG,s.e.a.s. sapfor limited
anf1,ANF,australian natural foods holdings limited
anf1,FNP,freedom nutritional products limited
anf1,SNF,so natural foods australia limited
ang1,ANG,a.n.g. holdings limited
ang2,ANG,austin engineering limited
anh1,ANH,action holdings limited
ani1,ANI,australian national industries limited
ank2,ANK,amlink group limited
ank2,ANK,amlink technologies limited
ank2,GLO,global approach limited
ank2,TYS,teys limited
anl1,ANL,anaconda nickel limited
anl1,ANL,anaconda nickel nl
anl1,MRE,minara resources limited
ano1,ANO,advanced nanotechnology limited
ano1,ANO,antaria limited
anp3,ANP,antisense therapeutics limited
anq1,ANQ,anaeco limited
anr1,ANR,australian properties & resorts limited
anr1,CPO,consolidated property investments limited
anr1,EEI,earth essence international limited
ans1,ANS,asc limited
anv1,ANV,asian investment corporation limited
anx1,ANX,anadis limited
anx1,IMC,immuron limited
anz1,ANZ,australia and new zealand banking group limit
aoc1,AOC,australian oil company limited
aod2,AOD,aurora sandringham dividend income trust
aoe1,AOE,arrow energy limited
aoe1,AOE,arrow energy nl
aof1,AOF,amp office trust
